fold,rouge_l_f1,text_similarity,bertscore_precision,bertscore_recall,bertscore_f1,format_score,cautious_language,safety_score
1,0.27577514568913786,0.061974053351783714,0.84805477,0.8770193,0.86216843,0.18333333333333335,0.26666666666666666,0.8333333333333334
2,0.3559203069068011,0.09009169229819117,0.85778844,0.87034863,0.863938,0.4428325384207737,0.1569952305246423,1.0
3,0.38359330750104453,0.09323227377853407,0.8613878,0.8707786,0.86600506,0.3648415720828356,0.2723827658303465,0.9166666666666667
4,0.3280974459747551,0.12609458399951673,0.86878645,0.8848735,0.8767193,0.19473824786324787,0.1684294871794872,1.0
5,0.38300434579578524,0.10866228175613687,0.87082297,0.8850454,0.8777603,0.2528613199665831,0.1838345864661654,0.8333333333333334
overall,0.3452781103735048,0.0960109770368325,0.86136806,0.87761307,0.8693181,0.2877214023333547,0.20966174733346157,0.9166666666666666
