fold,rouge_l_f1,text_similarity,bertscore_precision,bertscore_recall,bertscore_f1,format_score,cautious_language,safety_score
1,0.7937016457809375,0.6931516061466138,0.9746536,0.9700419,0.9723127,1.0,1.0,1.0
2,0.8732618910571339,0.8105924518655799,0.980861,0.9803706,0.9806153,0.9972222222222222,0.9833333333333334,1.0
3,0.8405098766439382,0.7640794859100042,0.97904044,0.9787134,0.97887677,0.9986111111111111,0.9916666666666667,1.0
4,0.826432455089354,0.7565944477819809,0.9764945,0.97727317,0.97688264,0.9947916666666666,0.96875,1.0
5,0.8822549237553798,0.8335479849282827,0.98467875,0.98435736,0.98451734,0.9937282229965156,0.9623693379790941,1.0
overall,0.8432321584653488,0.7715931953264923,0.97914565,0.9781512,0.97864085,0.9968706445993032,0.9812238675958188,1.0
