fold,rouge_l_f1,text_similarity,bertscore_precision,bertscore_recall,bertscore_f1,format_score,cautious_language,safety_score
1,0.27205185713372165,0.06391749705653393,0.82124484,0.84619534,0.8334707,0.18185624424790936,0.19753746548745604,0.8924324324324324
2,0.271936257945178,0.0635947118867876,0.8223931,0.8468894,0.8343932,0.18074062013525777,0.19705633342415918,0.8868468468468469
3,0.27208922364879073,0.06378677281808591,0.8221548,0.8464245,0.8340434,0.18144652498417813,0.19822869945461816,0.8893693693693695
4,0.27182510028907286,0.06405599314560703,0.8217303,0.84636444,0.83379567,0.18254877038063275,0.2033276843729126,0.8891891891891892
5,0.27130728067341975,0.06417475926714111,0.8215871,0.84703547,0.8340527,0.18171628662929656,0.19433358718550336,0.8920137010996936
overall,0.2718420017457201,0.06390591777088557,0.82182205,0.8465818,0.8339511,0.18166168337240013,0.1980971608577593,0.8899700868562368
