fold,rouge_l_f1,text_similarity,bertscore_precision,bertscore_recall,bertscore_f1,format_score,cautious_language,safety_score
1,0.7412676037068896,0.6292024309593707,0.9722637,0.9665589,0.9693853,1.0,1.0,1.0
2,0.8071859976073864,0.7318732736024802,0.97393847,0.9767693,0.97534925,1.0,1.0,1.0
3,0.859955486340996,0.819680331844382,0.98065734,0.97994864,0.9803011,1.0,1.0,1.0
4,0.8016075459801406,0.7058233933752592,0.9734182,0.9736773,0.9735467,0.9947916666666666,0.96875,1.0
5,0.826249855300614,0.763990263094489,0.97993034,0.97801876,0.978972,0.9872822299651568,0.9236933797909408,1.0
overall,0.8072532977872052,0.7301139385751962,0.9760417,0.9749945,0.9755109,0.9964147793263647,0.9784886759581882,1.0
